latitude,longitude,time,relative_humidity_2m,wind_speed_180m,temperature_180m,soil_temperature_54cm
52.52,13.419998,2024-09-24T00:00,83,19.5,18.5,17.7
52.52,13.419998,2024-09-24T01:00,86,18.4,17.6,17.7
52.52,13.419998,2024-09-24T02:00,88,16.0,16.7,17.7
52.52,13.419998,2024-09-24T03:00,91,14.1,16.0,17.7
52.52,13.419998,2024-09-24T04:00,94,15.1,15.5,17.7
52.52,13.419998,2024-09-24T05:00,95,14.4,14.9,17.7
52.52,13.419998,2024-09-24T06:00,93,21.3,14.5,17.7
52.52,13.419998,2024-09-24T07:00,87,23.1,14.8,17.7
52.52,13.419998,2024-09-24T08:00,80,11.3,14.5,17.7
52.52,13.419998,2024-09-24T09:00,77,12.3,15.2,17.7
52.52,13.419998,2024-09-24T10:00,81,18.1,14.5,17.7
52.52,13.419998,2024-09-24T11:00,90,16.0,14.0,17.7
52.52,13.419998,2024-09-24T12:00,91,19.5,13.9,17.7
52.52,13.419998,2024-09-24T13:00,86,30.3,13.9,17.7
52.52,13.419998,2024-09-24T14:00,82,22.1,13.6,17.7
52.52,13.419998,2024-09-24T15:00,79,15.7,14.3,17.6
52.52,13.419998,2024-09-24T16:00,79,14.8,15.0,17.6
52.52,13.419998,2024-09-24T17:00,84,24.9,15.7,17.6
52.52,13.419998,2024-09-24T18:00,87,40.8,15.5,17.6
52.52,13.419998,2024-09-24T19:00,86,37.6,14.7,17.6
52.52,13.419998,2024-09-24T20:00,85,40.6,14.4,17.6
52.52,13.419998,2024-09-24T21:00,85,43.5,13.8,17.6
52.52,13.419998,2024-09-24T22:00,85,36.0,12.8,17.6
52.52,13.419998,2024-09-24T23:00,84,36.0,12.6,17.6
52.52,13.419998,2024-09-25T00:00,85,36.9,12.1,17.6
52.52,13.419998,2024-09-25T01:00,86,40.6,12.2,17.6
52.52,13.419998,2024-09-25T02:00,87,39.3,12.1,17.6
52.52,13.419998,2024-09-25T03:00,88,39.2,12.0,17.6
52.52,13.419998,2024-09-25T04:00,89,36.2,12.2,17.6
52.52,13.419998,2024-09-25T05:00,91,32.6,12.5,17.5
52.52,13.419998,2024-09-25T06:00,90,34.2,12.6,17.5
52.52,13.419998,2024-09-25T07:00,86,30.8,12.5,17.5
52.52,13.419998,2024-09-25T08:00,82,23.6,13.5,17.5
52.52,13.419998,2024-09-25T09:00,76,29.3,14.7,17.5
52.52,13.419998,2024-09-25T10:00,70,30.4,15.5,17.5
52.52,13.419998,2024-09-25T11:00,65,33.1,16.2,17.5
52.52,13.419998,2024-09-25T12:00,72,30.3,16.0,17.4
52.52,13.419998,2024-09-25T13:00,65,26.8,16.2,17.4
52.52,13.419998,2024-09-25T14:00,62,30.1,16.8,17.4
52.52,13.419998,2024-09-25T15:00,59,24.9,17.3,17.4
52.52,13.419998,2024-09-25T16:00,59,23.6,17.5,17.4
52.52,13.419998,2024-09-25T17:00,70,24.2,17.2,17.4
52.52,13.419998,2024-09-25T18:00,71,25.5,16.3,17.4
52.52,13.419998,2024-09-25T19:00,77,16.2,15.8,17.4
52.52,13.419998,2024-09-25T20:00,78,24.9,15.6,17.4
52.52,13.419998,2024-09-25T21:00,80,35.7,15.9,17.4
52.52,13.419998,2024-09-25T22:00,80,36.9,15.8,17.4
52.52,13.419998,2024-09-25T23:00,80,32.6,15.4,17.4
52.52,13.419998,2024-09-26T00:00,81,38.7,15.0,17.4
52.52,13.419998,2024-09-26T01:00,80,42.8,14.1,17.4
52.52,13.419998,2024-09-26T02:00,84,36.0,13.6,17.3
52.52,13.419998,2024-09-26T03:00,87,37.5,13.2,17.3
52.52,13.419998,2024-09-26T04:00,87,36.4,13.3,17.3
52.52,13.419998,2024-09-26T05:00,91,41.8,12.9,17.3
52.52,13.419998,2024-09-26T06:00,90,41.3,12.7,17.3
52.52,13.419998,2024-09-26T07:00,85,49.9,12.7,17.3
52.52,13.419998,2024-09-26T08:00,76,43.6,12.9,17.3
52.52,13.419998,2024-09-26T09:00,72,40.9,14.2,17.3
52.52,13.419998,2024-09-26T10:00,66,49.4,16.2,17.3
52.52,13.419998,2024-09-26T11:00,64,43.5,16.6,17.3
52.52,13.419998,2024-09-26T12:00,59,48.8,17.3,17.3
52.52,13.419998,2024-09-26T13:00,61,35.9,17.5,17.3
52.52,13.419998,2024-09-26T14:00,59,35.3,17.7,17.3
52.52,13.419998,2024-09-26T15:00,64,32.7,17.4,17.3
52.52,13.419998,2024-09-26T16:00,73,36.9,16.4,17.3
52.52,13.419998,2024-09-26T17:00,82,32.4,15.8,17.3
52.52,13.419998,2024-09-26T18:00,84,43.3,15.9,17.3
52.52,13.419998,2024-09-26T19:00,85,47.0,16.1,17.3
